,section,news_title,link_url
0,헤드라인,"尹 '후쿠시마 안전' 인터뷰 논란…尹측 ""그런 의도 아냐""",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=001&aid=0012579774
1,헤드라인,경영계 반발에도 내년 최저임금 9160원 확정…자영업자 고용 후폭풍 우려 [내년도 최저임금 확정],https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=016&aid=0001870775
2,헤드라인,"송영길 ""한미훈련 예정대로""…'이재명 지지설'은 반박",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=055&aid=0000912577
3,헤드라인,"문 대통령, 인권위원장 송두환 · 금융위원장 고승범 지명",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=055&aid=0000912585
4,헤드라인,대구 121명 신규 확진...지난해 신천지 사태 이후 최대,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=102&oid=008&aid=0004626852
5,정치,보이콧 하잘 땐 언제고…與대선주자들의 낯뜨거운 올림픽 예찬,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=023&aid=0003631766
6,정치,"원희룡·하태경, 尹·崔 직격…""뭔가 큰 착각"" ""이제야 공부?""",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=001&aid=0012579782
7,정치,"최재형 ""文정권 잘못 지적한 게 정치적 중립 위반인가"" 정색",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=421&aid=0005524379
8,정치,"침묵 깬 이인제, 文정권 맹폭…“현재 권력의 성주는 민주당 주사파 세력”",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=029&aid=0002690792
9,정치,“‘검언유착’ 징벌적 손해배상 대상되나” 진중권 ‘팩폭’에 김의겸 반응은,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=023&aid=0003631765
10,경제,고공행진 모더나…베일리기포드도 '톱픽' 꼽았다,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=015&aid=0004587966
11,경제,금통위원 인사에 한은 '우왕좌왕'…통화정책 배려 없는 靑 [김익환의 BOK워치],https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=015&aid=0004587963
12,경제,"경찰, 부동산 투기 의혹 이해찬 前대표 불입건",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=001&aid=0012579753
